iter	Passed	Remaining
0	12	12890
1	23	11823
2	33	11097
3	42	10706
4	53	10700
5	62	10432
6	74	10515
7	84	10450
8	93	10304
9	102	10167
10	113	10167
11	122	10122
12	132	10026
13	142	10011
14	152	10033
15	163	10046
16	172	9968
17	181	9912
18	191	9888
19	201	9869
20	211	9870
21	221	9839
22	231	9846
23	242	9849
24	251	9792
25	260	9777
26	271	9790
27	281	9767
28	292	9778
29	301	9749
30	310	9719
31	319	9678
32	329	9668
33	339	9659
34	350	9657
35	360	9651
36	370	9633
37	378	9577
38	388	9567
39	397	9538
40	407	9528
41	416	9507
42	425	9479
43	435	9470
44	446	9475
45	455	9449
46	464	9428
47	474	9416
48	483	9390
49	494	9388
50	505	9400
51	515	9392
52	524	9364
53	534	9355
54	543	9335
55	553	9329
56	563	9315
57	571	9289
58	581	9269
59	590	9252
60	599	9233
61	609	9225
62	619	9213
63	629	9199
64	639	9197
65	648	9179
66	658	9175
67	668	9168
68	678	9160
69	687	9138
70	696	9117
71	707	9117
72	717	9105
73	725	9074
74	734	9062
75	744	9049
76	753	9028
77	762	9011
78	771	8991
79	780	8971
80	789	8957
81	798	8942
82	807	8924
83	816	8902
84	825	8891
85	833	8861
86	843	8848
87	852	8835
88	861	8816
89	870	8799
90	879	8786
91	889	8778
92	899	8768
93	908	8756
94	917	8743
95	927	8730
96	935	8712
97	944	8696
98	954	8690
99	964	8678
100	974	8671
101	983	8660
102	993	8654
103	1002	8640
104	1012	8628
105	1021	8615
106	1030	8602
107	1039	8585
108	1049	8574
109	1058	8563
110	1067	8548
111	1076	8538
112	1085	8522
113	1095	8512
114	1104	8498
115	1114	8490
116	1122	8475
117	1132	8464
118	1142	8455
119	1152	8452
120	1161	8440
121	1171	8431
122	1185	8452
123	1195	8444
124	1205	8435
125	1214	8421
126	1222	8405
127	1232	8394
128	1242	8387
129	1251	8372
130	1260	8363
131	1269	8351
132	1278	8337
133	1289	8331
134	1299	8323
135	1309	8318
136	1319	8309
137	1329	8304
138	1338	8290
139	1347	8276
140	1357	8270
141	1368	8266
142	1379	8265
143	1388	8254
144	1408	8302
145	1419	8302
146	1429	8297
147	1438	8282
148	1448	8270
149	1457	8258
150	1466	8245
151	1475	8232
152	1484	8220
153	1493	8202
154	1503	8194
155	1512	8183
156	1522	8173
157	1531	8163
158	1543	8161
159	1553	8154
160	1563	8147
161	1572	8135
162	1582	8125
163	1592	8115
164	1605	8126
165	1614	8112
166	1623	8100
167	1632	8086
168	1643	8079
169	1653	8072
170	1664	8067
171	1673	8057
172	1684	8053
173	1693	8040
174	1703	8031
175	1713	8020
176	1722	8010
177	1732	8001
178	1742	7993
179	1752	7981
180	1761	7971
181	1770	7958
182	1781	7953
183	1794	7958
184	1804	7949
185	1814	7940
186	1824	7933
187	1834	7922
188	1844	7916
189	1856	7915
190	1874	7939
191	1887	7944
192	1898	7938
193	1908	7930
194	1918	7919
195	1928	7910
196	1939	7904
197	1948	7891
198	1957	7879
199	1966	7866
200	1976	7858
201	1986	7846
202	1996	7839
203	2007	7831
204	2016	7819
205	2025	7806
206	2034	7793
207	2043	7781
208	2053	7771
209	2063	7762
210	2073	7754
211	2082	7740
212	2091	7728
213	2101	7720
214	2112	7712
215	2121	7699
216	2130	7687
217	2139	7673
218	2148	7662
219	2158	7651
220	2176	7670
221	2196	7697
222	2240	7805
223	2255	7814
224	2265	7804
225	2275	7794
226	2368	8065
227	2384	8072
228	2398	8074
229	2410	8071
230	2422	8064
231	2435	8061
232	2445	8051
233	2464	8068
234	2479	8071
235	2489	8058
236	2504	8063
237	2514	8049
238	2523	8034
239	2533	8022
240	2542	8006
241	2553	7996
242	2564	7989
243	2575	7980
244	2585	7967
245	2598	7964
246	2611	7962
247	2622	7952
248	2633	7944
249	2644	7933
250	2654	7922
251	2663	7906
252	2673	7893
253	2681	7875
254	2690	7860
255	2700	7848
256	2710	7834
257	2719	7820
258	2728	7807
259	2737	7791
260	2747	7778
261	2756	7763
262	2765	7750
263	2774	7733
264	2784	7723
265	2794	7711
266	2803	7697
267	2812	7682
268	2822	7669
269	2832	7657
270	2841	7644
271	2851	7632
272	2861	7620
273	2870	7606
274	2879	7591
275	2888	7576
276	2897	7563
277	2906	7548
278	2915	7534
279	2924	7520
280	2933	7505
281	2942	7491
282	2951	7478
283	2962	7467
284	2972	7457
285	2989	7463
286	3000	7454
287	3010	7441
288	3020	7431
289	3030	7419
290	3040	7407
291	3050	7396
292	3060	7384
293	3069	7369
294	3077	7355
295	3087	7344
296	3098	7333
297	3108	7321
298	3117	7308
299	3126	7295
300	3136	7283
301	3145	7270
302	3155	7257
303	3167	7250
304	3176	7238
305	3186	7226
306	3195	7214
307	3206	7204
308	3216	7193
309	3227	7183
310	3237	7171
311	3246	7158
312	3255	7145
313	3265	7133
314	3274	7120
315	3283	7108
316	3293	7095
317	3302	7082
318	3312	7071
319	3322	7060
320	3331	7046
321	3341	7035
322	3350	7021
323	3357	7005
324	3367	6994
325	3377	6983
326	3387	6971
